term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
IL-10-treated_cell_lex	G#cell_line	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	234.0	-0.0006454050744297835	0.0005	0.0	-0.0002509284794403044
IL-10R_lex	G#protein_molecule	amino_acid	1	11	7.600902459542082	10.403058258481673	inf	11.0	2794.0	-0.0007005679013042387	0.0005	0.0005	2.3976443443189304
IL-10_concentration_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	239.0	-0.0006591957811485916	0.0005	0.0005	-0.0002509284794403044
IL-10_gene_lex	G#DNA_domain_or_region	nucleotide	2	2	6.907755278982137	12.107806350720098	0.688948203990155	1.0	221.0	-0.0012190984739213206	0.001	0.001	-0.0005316994476203263
IL-10_gene_polymorphism_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	189.0	-0.0005212887139617317	0.0005	0.0	-0.0002509284794403044
IL-10_inhibited_translocation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	236.0	-0.0006509213571174177	0.0005	0.0	-0.0002509284794403044
IL-10_inhibition_lex	G#other_name	other	1	2	7.600902459542082	12.107806350720098	311.07403557203764	2.0	430.0	-0.0005930003888988677	0.0005	0.0	0.6928962520805051
IL-10_lex	G#protein_molecule	amino_acid	36	205	4.017383521085972	7.477943552141634	inf	5.694444444444445	1300.3333333333333	-0.021265269760015526	0.014	0.0125	1.7296159381062557
IL-10_pre-treatment_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	266.0	-0.00073366559742849	0.0005	0.0005	-0.0002509284794403044
IL-10_pretreatment_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	331.0	-0.0009129447847697758	0.0	0.0	-0.0002509284794403044
IL-10_primed_leukocyte_lex	G#cell_line	cell	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	266.0	-0.00073366559742849	0.0005	0.0	-0.0002509284794403044
IL-10_production_lex	G#other_name	other	3	4	6.502290170873972	11.414659170160153	97.75425464500107	1.3333333333333333	260.0	-0.0016548848062288846	0.0015	0.001	0.2868742396576369
IL-10_promoter_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233858	1.0	184.0	-0.0005074980072441448	0.0005	0.0005	-0.0002509284794403044
IL-10_receptor_activation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	256.0	-0.0007060841839910958	0.0005	0.0	-0.0002509284794403044
IL-10_receptor_expression_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	256.0	-0.0007060841839910958	0.0005	0.0	-0.0002509284794403044
IL-10_receptor_lex	G#protein_molecule	amino_acid	2	5	6.907755278982137	11.191515618845942	inf	2.5	619.0	-0.0012963264315457579	0.001	0.0005	0.9157590324265357
IL-10_receptor_site_lex	G#cell_component	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	256.0	-0.0007060841839910958	0.0005	0.0	-0.0002509284794403044
IL-10_regulation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	234.0	-0.0006454050744297835	0.0005	0.0	-0.0002509284794403044
IL-10_release_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	180.0	-0.0004964654418683212	0.0005	0.0005	-0.0002509284794403044
IL-10_secretion_lex	G#other_name	other	2	5	6.907755278982137	11.191515618845942	648.2708734563512	2.5	739.5	-0.0015831731312920816	0.001	0.0005	0.9157590324265357
IL-10_up-regulation_lex	G#other_name	other	1	3	7.600902459542082	11.702341242611933	inf	3.0	552.0	-0.0005074980072441448	0.0005	0.0	1.0983613601886706
IL-11_lex	G#protein_molecule	amino_acid	1	8	7.600902459542082	10.721511989600208	inf	8.0	1248.0	-0.0004302700496202627	0.0005	0.0005	2.079190613200396
IL-11_mRNA_lex	G#RNA_molecule	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	156.0	-0.0004302700496202627	0.0005	0.0005	-0.0002509284794403044
IL-12-dependent_transactivation_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	236.0	-0.0006509213571171957	0.0005	0.0	-0.0002509284794403044
