IDF,ICF,Chi-sq,CG,ICB,DoP,RICF,bi,ni
0.22000000000000003,0.12000000000000002,0.14,0.0,0.1,0.2,0.0,0.0,0.0
0.17200000000000001,0.12400000000000003,0.16799999999999998,0.1,0.12,0.12,0.1,0.0,0.0
0.17600000000000002,0.134,0.154,0.1,0.1,0.13,0.11000000000000001,0.0,0.0
0.1776,0.1508,0.15360000000000001,0.14,0.146,0.1348,0.14400000000000002,0.004,0.016
0.17720000000000002,0.1408,0.1568,0.132,0.1396,0.158,0.1342,0.014000000000000002,0.015
0.15604,0.13284,0.1524,0.1558,0.15148,0.1552,0.1558,0.051680000000000004,0.06652
